Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-12-05,19.88,20.23,19.74,19.94,2335300,0.0,0
2016-12-06,20.05,20.27,20.0,20.24,1508000,0.0,0
2016-12-07,20.47,21.23,20.46,21.1,2799300,0.0,0
2016-12-08,21.14,21.29,20.77,21.12,3100200,0.0,0
2016-12-09,21.06,21.41,20.96,21.16,2451700,0.0,0
2016-12-12,21.19,21.53,20.96,21.49,2146200,0.0,0
2016-12-13,21.56,21.84,21.41,21.46,2399300,0.0,0
2016-12-14,21.42,21.49,20.49,20.56,2373300,0.0,0
2016-12-15,20.55,20.91,20.41,20.61,1964800,0.0,0
2016-12-16,20.62,20.88,20.57,20.67,3383300,0.0,0
2016-12-19,20.66,21.07,20.66,21.06,1316700,0.0,0
2016-12-20,21.03,21.27,21.01,21.24,1031700,0.0,0
2016-12-21,21.2,21.58,21.02,21.46,1879400,0.0,0
2016-12-22,21.44,21.44,20.36,20.38,2296500,0.0,0
2016-12-23,20.79,21.15,20.59,20.66,1977600,0.0,0
2016-12-27,20.66,21.14,20.66,21.1,1596100,0.0,0
2016-12-28,20.97,21.1,20.4,20.55,1716100,0.0,0
2016-12-29,20.53,20.95,20.53,20.61,1714800,0.0,0
2016-12-30,20.67,20.94,20.51,20.54,1747800,0.0,0
2017-01-03,20.69,20.71,20.35,20.63,1941400,0.0,0
2017-01-04,20.8,21.18,20.8,21.08,2244300,0.0,0
2017-01-05,20.79,20.79,20.25,20.33,3037700,0.0,0
2017-01-06,20.45,20.47,19.92,19.94,2333600,0.0,0
2017-01-09,20.01,20.05,19.79,19.92,1646700,0.0,0
2017-01-10,19.94,20.41,19.88,20.04,2243100,0.0,0
2017-01-11,20.12,20.44,19.92,20.01,2543400,0.0,0
2017-01-12,20.01,20.28,19.99,20.1,2643200,0.0,0
2017-01-13,18.13,18.86,18.11,18.48,14823900,0.0,0
2017-01-17,18.49,19.31,18.44,18.98,4983400,0.0,0
2017-01-18,18.95,19.21,18.62,19.1,2180900,0.0,0
2017-01-19,19.14,19.27,18.85,18.96,2002400,0.0,0
2017-01-20,19.08,19.22,18.97,19.18,2566100,0.0,0
2017-01-23,19.25,19.52,19.07,19.46,2186300,0.0,0
2017-01-24,19.47,19.64,19.29,19.41,2850600,0.0,0
2017-01-25,19.52,19.7,19.46,19.66,1887700,0.0,0
2017-01-26,19.72,20.08,19.62,19.7,3160300,0.0,0
2017-01-27,19.75,19.92,19.49,19.77,2669400,0.0,0
2017-01-30,19.62,19.7,19.4,19.66,1731300,0.0,0
2017-01-31,19.5,19.96,19.4,19.92,1596900,0.0,0
2017-02-01,19.92,20.04,19.58,19.76,1752900,0.0,0
2017-02-02,19.83,19.99,19.74,19.83,1651800,0.0,0
2017-02-03,19.8,20.25,19.75,20.12,2242700,0.0,0
2017-02-06,20.12,20.29,19.94,20.07,1704600,0.0,0
2017-02-07,20.09,20.33,19.93,20.03,2179600,0.0,0
2017-02-08,20.0,20.22,19.96,20.16,1388400,0.0,0
2017-02-09,20.16,20.66,20.13,20.65,1488300,0.0,0
2017-02-10,20.75,20.94,20.57,20.87,1521000,0.0,0
2017-02-13,20.94,21.02,20.57,20.63,1470800,0.0,0
2017-02-14,20.55,21.04,20.53,20.93,1542700,0.0,0
2017-02-15,20.94,21.21,20.77,20.97,2146700,0.0,0
2017-02-16,20.9,21.05,20.57,20.67,1795800,0.0,0
2017-02-17,20.63,20.83,20.57,20.79,1241700,0.0,0
2017-02-21,21.01,21.35,20.94,21.32,2720300,0.0,0
2017-02-22,21.31,21.39,21.16,21.36,1377700,0.0,0
2017-02-23,21.4,21.42,20.75,20.79,2462200,0.0,0
